==================================================
UNRESTRAINED SYSTEM
==================================================
Sequence = PPPPPPPP
Number of conformations = 272
Partition function = 272.0
Average end-to-end distance = 3.753667905632506
Average radius of gyration = 1.5218177655394014
Average end-to-end distance = 3.753667905632505
Average energy = 0.0
Entropy S1 = 5.605802066296009
Entropy S2 = 5.605802066295998

Macrostates (Energy : Degeneracy)
0 : 272
Lowest energy = 0
Number of lowest-energy microstates = 272
State 23 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (1, 1), (1, 2)]
State 24 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (2, 2), (3, 2)]
State 25 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (2, 2), (1, 2)]
State 26 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (2, 2), (2, 3)]
State 27 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (4, 2), (5, 2)]
State 28 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (4, 2), (4, 3)]
State 29 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (4, 2), (4, 1)]
State 30 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (2, 2), (1, 2)]
State 31 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3)]
State 32 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 1)]
State 33 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (4, 3)]
State 34 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (2, 3)]
State 35 = [(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4)]
State 36 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]
State 37 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2)]
State 38 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (5, 1), (5, 0)]
State 39 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 2), (5, 2)]
State 40 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 2), (3, 2)]
State 41 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]
State 42 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 0), (5, 0)]
State 43 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 0), (3, 0)]
State 44 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 0), (4, -1)]
State 45 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2)]
State 46 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (4, 3)]
State 47 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (4, 1)]
State 48 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (1, 2)]
State 49 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (2, 3)]
State 50 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (3, 3), (4, 3)]
State 51 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (3, 3), (2, 3)]
State 52 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (3, 3), (3, 4)]
State 53 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (4, 0), (5, 0)]
State 54 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (4, 0), (4, 1)]
State 55 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (4, 0), (4, -1)]
State 56 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (3, -1), (4, -1)]
State 57 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (3, -1), (2, -1)]
State 58 = [(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (3, -1), (3, -2)]
State 59 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (-1, 1), (-2, 1)]
State 60 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (-1, 1), (-1, 2)]
State 61 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (-1, 1), (-1, 0)]
State 62 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (0, 2), (1, 2)]
State 63 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (0, 2), (-1, 2)]
State 64 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1), (0, 2), (0, 3)]
State 65 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (2, 2), (3, 2)]
State 66 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (2, 2), (2, 3)]
State 67 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (0, 2), (-1, 2)]
State 68 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (0, 2), (0, 3)]
State 69 = [(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (0, 2), (0, 1)]
